feature,importance
lead_time,2367
adr,2116
arrival_date_day_of_month,1379
country,1285
arrival_date_week_number,1148
arrival_date_month,774
total_stay_nights,628
total_of_special_requests,544
stays_in_week_nights,502
arrival_date_year,482
customer_type,352
booking_changes,345
stays_in_weekend_nights,304
market_segment,270
hotel,251
assigned_room_type,250
booking_source_type,230
adults,204
previous_bookings_not_canceled,166
is_domestic,150
meal,139
reserved_room_type,131
previous_cancellations,126
room_changed,119
children,91
deposit_type,72
required_car_parking_spaces,71
distribution_channel,68
traveler_type,64
is_family,62
is_repeated_guest,57
adr_clean,53
special_request_category,46
adr_group,46
days_in_waiting_list,37
babies,30
has_special_request,13
adr_category,3
has_booking_changes,2
has_waiting_list,1
adr_log,0
waiting_list_group,0
requires_parking,0
has_babies,0
