feature,importance
required_car_parking_spaces,0.41317686
room_changed,0.16965781
market_segment,0.038281843
is_domestic,0.03729663
deposit_type,0.0320683
previous_cancellations,0.030739287
total_of_special_requests,0.023711484
customer_type,0.018870836
previous_bookings_not_canceled,0.018405747
arrival_date_year,0.016529785
country,0.015767137
booking_changes,0.012156091
is_repeated_guest,0.0113871945
distribution_channel,0.01014845
lead_time,0.010091367
booking_source_type,0.008621589
is_family,0.008150785
arrival_date_month,0.007832299
hotel,0.007383343
adr_clean,0.007330612
days_in_waiting_list,0.0069173104
assigned_room_type,0.006702273
reserved_room_type,0.0066159093
adr_group,0.006563458
babies,0.0064321314
meal,0.005845768
adr,0.005829561
children,0.0058052456
traveler_type,0.005801342
waiting_list_group,0.0057897954
total_stay_nights,0.0056756125
arrival_date_week_number,0.005392892
special_request_category,0.005306241
adults,0.005120669
stays_in_week_nights,0.005069819
arrival_date_day_of_month,0.004868484
stays_in_weekend_nights,0.0043325177
adr_category,0.0043234914
has_booking_changes,0.0
has_waiting_list,0.0
adr_log,0.0
has_special_request,0.0
requires_parking,0.0
has_babies,0.0
